Dashboard_API_Name__c,RecordTypeId,Record_Type_Id__c,Role_Name__c
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,IN Lead Enterprise
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,IN Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Manager - HKT
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales APAC Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep - HKT
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - HKT
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager - HKT
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager - HKT
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MX Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,BR&MX Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,BR Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - MEA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep - RU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep - RU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - UK
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CSM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CSM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - DE - Retain Growth - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - DE - Growth - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - UK - Growth - A1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - UK - Growth - A2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - UK - Onboarding
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - GA Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - IT - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - Iberia - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager EMEA/APAC
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - FR - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - Onboarding
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - DE - Growth - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - DE - Retain Growth - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - BeNe - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - BeNe - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - GA Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - NORDIC - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - NORDIC - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - AU - A B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE - BeNe
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE - BeNe
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - AU - B3
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - DE - Retain Growth - B2/B3
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CSM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - DE - Specialty Desk
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - AU - A B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE - IT
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE -NORDIC
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - FR - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE - IT
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE -NORDIC
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - FR - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - UK - Retain Growth - B3
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - CBT - ICE MEA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - UK - Growth - A2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - UK - Retain Growth - B3
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - CBT - ICE MEA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - UK - Growth - A2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - UK - Retain - B1 B2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - UK - Specialty Desk
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - UK - Growth - A1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - UK - Onboarding
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - UK - Retain Growth - B3
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - UK - Growth - A2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - UK - Specialty Desks
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Global Merchant Services Operations
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - MEA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager EMEA/APAC
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - ICE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - ICE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - IT - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - BeNe - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - Onboarding
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - ICE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - Iberia - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - Iberia - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - FR - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - FR - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager EMEA/APAC
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - DE - Growth - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - DE - Retain Growth - B2 B3
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - DE - Retain Growth - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - DE - Specialty Desk
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - DE - Onboarding
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager EMEA/APAC
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - BeNe - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - BeNe - A
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - EU - WCE - NORDIC - B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - B2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - AU - B2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - AU - A B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - AU - Specialty Desk
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner ER
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CSM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager Global Platforms BD Ops
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager NA/LATAM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager EMEA/APAC
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of Partner Success NA/LATAM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner ER - Team Mgr
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner ER
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - NA - LE - A2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - NA - LE - A2 Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner AE Leader - eBay
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - GA - Team 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep1 - MX
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager1 - MX
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager2 - MX
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep2 - MX
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - NA - LE - A2 Team 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner ER
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - DE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - NA - LE - A2 Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - NA - LE - A2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager Global Platforms BD Ops
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - NA - LE - A2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - GA Team 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager NA/LATAM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner Success Manager Global Platforms BD Ops
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,BDR Team 4
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales MX/LATAM Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales BZ Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales MX/LATAM Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales BZ Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep - JP
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - JP
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Manager - JP
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,JP Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM ER Manager1 Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM ER Manager3 Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales APAC Team 3
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM ER Rep2 Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM ER Manager2 Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Rep East China - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM Manager CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Manager CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,IN Lead MM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM AE Manager Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,MM Manager Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep CBT - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager Dom - IN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Manager1 - UK
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Manager2 - UK
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,DE Core Leader
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales NA Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales EMEA Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - WCE - FR
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CSM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Partner
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,BDR Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - GA Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - EU - UK - Growth - A1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,INTL
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,UK Core Leader
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Manager - ICE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ICE&LATAM Lead
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - ICE
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ICE Lead
